param_n_factors,param_n_epochs,param_lr_all,param_reg_all,mean_test_rmse,std_test_rmse,mean_test_mae,rank_test_rmse
100,30,0.01,0.1,0.8487458237248257,0.005295948792699468,0.6508325366637627,1
50,30,0.01,0.1,0.849695750054348,0.004898323374296555,0.6514928846782426,2
100,20,0.01,0.1,0.8541448072605811,0.0053047743369811174,0.6556469979298981,3
50,20,0.01,0.1,0.8547378753610293,0.004872176718660811,0.6561922354442775,4
50,30,0.005,0.1,0.8568086847750255,0.004796240972314843,0.6581270868531054,5
100,30,0.005,0.1,0.8568896294448919,0.005239134487596943,0.6581497737339793,6
50,20,0.005,0.1,0.8607872051708269,0.00465555229401019,0.6618850475062196,7
100,20,0.005,0.1,0.8614737655414357,0.005086700545347745,0.662443788582989,8
50,20,0.005,0.02,0.8631166951722493,0.004542202667019967,0.6626373798554959,9
50,30,0.005,0.02,0.8651913744355312,0.004051248897982817,0.6626169123252559,10
100,20,0.005,0.02,0.8675417062615584,0.005605476059517504,0.6663156330373884,11
100,30,0.005,0.02,0.8696407334558625,0.0056008476546649585,0.6673043367430065,12
50,20,0.01,0.02,0.8725627906434132,0.0034901859030085675,0.6673606992136307,13
100,20,0.01,0.02,0.8739246849888233,0.005368932130748389,0.6704377111045883,14
100,30,0.01,0.02,0.8798312246948792,0.005091462046925995,0.6751417569989611,15
50,30,0.01,0.02,0.887979692993842,0.0032527671171149954,0.6788184200390522,16
